ID,Rendement_kg_ha
Moyen-Chari_2024_Arachide,0.0
Moyen-Chari_2024_Manioc,0.0
Moyen-Chari_2024_Niébé,0.0
Moyen-Chari_2024_Patate_douce,0.0
Moyen-Chari_2024_Pois_de_terre,0.0
Moyen-Chari_2024_Sésame,0.0
Moyen-Chari_2024_Taro,0.0
Moyen-Chari_2024_Berbéré,0.0
Moyen-Chari_2024_Maïs,0.0
Moyen-Chari_2024_Mil,0.0
Moyen-Chari_2024_Riz,0.0
Moyen-Chari_2024_Sorgho,0.0
Tandjilé_2024_Arachide,0.0
Tandjilé_2024_Manioc,0.0
Tandjilé_2024_Niébé,0.0
Tandjilé_2024_Patate_douce,0.0
Tandjilé_2024_Pois_de_terre,0.0
Tandjilé_2024_Sésame,0.0
Tandjilé_2024_Taro,0.0
Tandjilé_2024_Berbéré,0.0
Tandjilé_2024_Maïs,0.0
Tandjilé_2024_Mil,0.0
Tandjilé_2024_Riz,0.0
Tandjilé_2024_Sorgho,0.0
Barh_El_Ghazal_2025_Mil,0.0
Barh_El_Ghazal_2025_Sorgho,0.0
Batha_2025_Berbéré,0.0
Batha_2025_Maïs,0.0
Batha_2025_Mil,0.0
Batha_2025_Riz,0.0
Batha_2025_Sorgho,0.0
Chari-Baguirmi_2025_Berbéré,0.0
Chari-Baguirmi_2025_Fonio,0.0
Chari-Baguirmi_2025_Maïs,0.0
Chari-Baguirmi_2025_Mil,0.0
Chari-Baguirmi_2025_Riz,0.0
Chari-Baguirmi_2025_Sorgho,0.0
Ennedi_Est_2025_Mil,0.0
Guéra_2025_Berbéré,0.0
Guéra_2025_Maïs,0.0
Guéra_2025_Mil,0.0
Guéra_2025_Riz,0.0
Guéra_2025_Sorgho,0.0
Hadjer-Lamis_2025_Berbéré,0.0
Hadjer-Lamis_2025_Maïs,0.0
Hadjer-Lamis_2025_Mil,0.0
Hadjer-Lamis_2025_Riz,0.0
Hadjer-Lamis_2025_Sorgho,0.0
Kanem_2025_Maïs,0.0
Kanem_2025_Mil,0.0
Lac_2025_Blé,0.0
Lac_2025_Maïs,0.0
Lac_2025_Mil,0.0
Lac_2025_Riz,0.0
Lac_2025_Sorgho,0.0
Ouaddaï_2025_Berbéré,0.0
Ouaddaï_2025_Mil,0.0
Ouaddaï_2025_Sorgho,0.0
Salamat_2025_Berbéré,0.0
Salamat_2025_Maïs,0.0
Salamat_2025_Mil,0.0
Salamat_2025_Riz,0.0
Salamat_2025_Sorgho,0.0
Sila_2025_Berbéré,0.0
Sila_2025_Maïs,0.0
Sila_2025_Mil,0.0
Sila_2025_Riz,0.0
Sila_2025_Sorgho,0.0
Wadi_Fira_2025_Mil,0.0
Wadi_Fira_2025_Sorgho,0.0
Logone_Occidental_2025_Maïs,0.0
Logone_Occidental_2025_Mil,0.0
Logone_Occidental_2025_Riz,0.0
Logone_Occidental_2025_Sorgho,0.0
Logone_Oriental_2025_Maïs,0.0
Logone_Oriental_2025_Mil,0.0
Logone_Oriental_2025_Riz,0.0
Logone_Oriental_2025_Sorgho,0.0
Mandoul_2025_Fonio,0.0
Mandoul_2025_Maïs,0.0
Mandoul_2025_Mil,0.0
Mandoul_2025_Riz,0.0
Mandoul_2025_Sorgho,0.0
Mayo-Kebbi_Est_2025_Berbéré,0.0
Mayo-Kebbi_Est_2025_Maïs,0.0
Mayo-Kebbi_Est_2025_Mil,0.0
Mayo-Kebbi_Est_2025_Riz,0.0
Mayo-Kebbi_Est_2025_Sorgho,0.0
Mayo-Kebbi_Ouest_2025_Berbéré,0.0
Mayo-Kebbi_Ouest_2025_Maïs,0.0
Mayo-Kebbi_Ouest_2025_Mil,0.0
Mayo-Kebbi_Ouest_2025_Riz,0.0
Mayo-Kebbi_Ouest_2025_Sorgho,0.0
Moyen-Chari_2025_Berbéré,0.0
Moyen-Chari_2025_Fonio,0.0
Moyen-Chari_2025_Maïs,0.0
Moyen-Chari_2025_Mil,0.0
Moyen-Chari_2025_Riz,0.0
Moyen-Chari_2025_Sorgho,0.0
Tandjilé_2025_Berbéré,0.0
Tandjilé_2025_Maïs,0.0
Tandjilé_2025_Mil,0.0
Tandjilé_2025_Riz,0.0
Tandjilé_2025_Sorgho,0.0
